number,created_at,html_url,state,resolution,resolved_at,resolved_by_username,resolved_by_type,resolved_by_isadmin,secret_type,secret_type_display_name,repo_name,repo_owner,repo_owner_type,repo_owner_isadmin,repo_url,repo_isfork,repo_isprivate
5,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/5,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
4,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/4,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
3,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/3,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
2,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/2,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
1,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/1,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
1,2024-10-02T11:15:23Z,https://github.com/ctcampbellcom/monorepo-action/security/secret-scanning/1,resolved,used_in_tests,2024-10-02T11:15:23Z,ctcampbell,User,True,github_app_installation_access_token,GitHub App Installation Access Token,ctcampbellcom/monorepo-action,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo-action,False,True
5,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/5,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
4,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/4,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
3,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/3,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
2,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/2,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
1,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/1,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
89,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/89,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
88,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/88,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
87,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/87,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
86,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/86,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
85,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/85,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
84,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/84,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
83,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/83,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
82,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/82,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
81,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/81,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
80,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/80,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
79,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/79,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
78,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/78,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
77,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/77,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
76,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/76,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
75,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/75,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
74,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/74,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
73,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/73,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
72,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/72,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
71,2024-09-26T19:40:59Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/71,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
3,2024-09-11T11:41:42Z,https://github.com/ctcampbellcom/demo-11-Sep-2024/security/secret-scanning/3,open,,,,,,github_personal_access_token,GitHub Personal Access Token,ctcampbellcom/demo-11-Sep-2024,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/demo-11-Sep-2024,False,True
2,2024-09-11T11:40:02Z,https://github.com/ctcampbellcom/demo-11-Sep-2024/security/secret-scanning/2,open,,,,,,github_personal_access_token,GitHub Personal Access Token,ctcampbellcom/demo-11-Sep-2024,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/demo-11-Sep-2024,False,True
1,2024-09-11T11:08:50Z,https://github.com/ctcampbellcom/demo-11-Sep-2024/security/secret-scanning/1,open,,,,,,google_api_key,Google API Key,ctcampbellcom/demo-11-Sep-2024,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/demo-11-Sep-2024,False,True
1,2024-08-07T11:18:51Z,https://github.com/ctcampbellcom/demo-template/security/secret-scanning/1,open,,,,,,google_api_key,Google API Key,ctcampbellcom/demo-template,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/demo-template,False,True
4,2024-07-12T09:20:13Z,https://github.com/ctcampbellcom/best-demo/security/secret-scanning/4,open,,,,,,github_personal_access_token,GitHub Personal Access Token,ctcampbellcom/best-demo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/best-demo,False,True
3,2024-07-12T09:17:19Z,https://github.com/ctcampbellcom/best-demo/security/secret-scanning/3,open,,,,,,github_personal_access_token,GitHub Personal Access Token,ctcampbellcom/best-demo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/best-demo,False,True
1,2024-06-06T21:57:12Z,https://github.com/ctcampbellcom/jenkins-demo/security/secret-scanning/1,open,,,,,,google_api_key,Google API Key,ctcampbellcom/jenkins-demo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/jenkins-demo,True,True
2,2024-01-19T11:32:12Z,https://github.com/ctcampbellcom/best-demo/security/secret-scanning/2,open,,,,,,github_personal_access_token,GitHub Personal Access Token,ctcampbellcom/best-demo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/best-demo,False,True
1,2024-01-19T10:08:53Z,https://github.com/ctcampbellcom/best-demo/security/secret-scanning/1,resolved,revoked,2024-01-19T11:28:56Z,ctcampbell,User,True,google_api_key,Google API Key,ctcampbellcom/best-demo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/best-demo,False,True
